euler, , , , rk2, , , , rk4 , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
0.1, -1.0, 0.1075351714189448, -0.968449468260496,0.1, -1.0, 0.0076843111298243155, -2.1143950593191487,0.1, -1.0, 5.851742901059061E-6, -5.23271476304983
0.1111111111111111, -0.9542425094393249, 0.11764613059483854, -0.9294223522868968,0.1111111111111111, -0.9542425094393249, 0.009417384188026559, -2.026069711906247,0.1111111111111111, -0.9542425094393249, 8.920499078613446E-6, -5.049610847302742
0.125, -0.9030899869919435, 0.12983088090302278, -0.8866219962053827,0.125, -0.9030899869919435, 0.011812780523091234, -1.9276478649856235,0.125, -0.9030899869919435, 1.4277153186555994E-5, -4.845358380698778
0.14285714285714285, -0.8450980400142568, 0.14478916476215206, -0.8392639371725531,0.14285714285714285, -0.8450980400142568, 0.015258902725972145, -1.8164766955547373,0.14285714285714285, -0.8450980400142568, 2.4302517277155553E-5, -4.614348739448736
0.16666666666666666, -0.7781512503836436, 0.1635682334307953, -0.7863010367606137,0.16666666666666666, -0.7781512503836436, 0.020480424407398123, -1.6886610478973152,0.16666666666666666, -0.7781512503836436, 4.482016164399058E-5, -4.348526581514332
0.2, -0.6989700043360187, 0.18780400320059926, -0.7262951546183607,0.2, -0.6989700043360187, 0.02896723184645443, -1.5380930046667878,0.2, -0.6989700043360187, 9.208368533694005E-5, -4.035817307867959
0.25, -0.6020599913279624, 0.2201988993607742, -0.6571848561305565,0.25, -0.6020599913279624, 0.04423843785939823, -1.3542002171694851,0.25, -0.6020599913279624, 2.2009041323939858E-4, -3.6573988741568026
0.3333333333333333, -0.47712125471966244, 0.26565710632965145, -0.5756785622181049,0.3333333333333333, -0.47712125471966244, 0.07667211193561904, -1.1153625739244988,0.3333333333333333, -0.47712125471966244, 6.537876235666606E-4, -3.184563305027568
0.5, -0.3010299956639812, 0.3364674889551541, -0.4730568929541048,0.5, -0.3010299956639812, 0.17336920102461761, -0.7610280522640284,0.5, -0.3010299956639812, 0.0024876243078282, -2.60421520812798
